,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature
1,12.493939195192793,10.0,0.12909688934043662,0.020388059299715457,6.0,10000.0,0.0,0.00035087719298245617,1.0,62.0,2.0,64.0,15.0,1000.0,170.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s170l64L15T1000N100_c1_parameters.csv,c1
1,10.959008105048893,10.186619916847965,0.14354080482394993,0.022811294953185852,8.0,10000.0,0.0,0.00035087719298245617,1.0,28.0,2.0,64.0,10.0,500.0,484.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s484l64L10T500N100000_c1_parameters.csv,c1
1,13.0,10.49526874874482,0.10952281720048943,0.016870258098679265,4.0,10000.0,0.0,0.00035087719298245617,1.0,20.0,2.0,64.0,20.0,500.0,145.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s145l64L20T500N100_c1_parameters.csv,c1
1,8.54005438026713,10.174465913339645,0.03934016948984051,0.004882574931519957,183.0,236.3,1962.81,0.00035087719298245617,0.0,605.0,2.0,64.0,10.0,10000.0,445.0,12.701864778619893,10000.0,1.0,1.0,two_depletion_nutrient_B_s445l64L10T10000N10000_c1_parameters.csv,c1
1,11.727664889652159,8.877559946730505,0.1173172367630547,0.015,6.0,10000.0,0.0,0.00035087719298245617,1.0,24.0,2.0,64.0,20.0,500.0,261.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s261l64L20T500N1000_c1_parameters.csv,c1
1,14.447793729356173,10.0,0.10798458457233681,0.013987405229691096,5.0,10000.0,0.0,0.00035087719298245617,1.0,25.0,2.0,64.0,15.0,500.0,374.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s374l64L15T500N10000_c1_parameters.csv,c1
1,8.089220603149728,34.77260023418066,0.15226238206808393,0.06355786886757574,319.0,9727.5,668306.25,0.00035087719298245617,4.0,923.0,2.0,64.0,30.0,10000.0,230.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s230l64L30T10000N100_c1_parameters.csv,c1
1,13.269706967095996,10.588998312133361,0.11353674490007308,0.01739478532492947,10.0,10000.0,0.0,0.00035087719298245617,1.0,51.0,2.0,64.0,15.0,500.0,370.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s370l64L15T500N10000_c2_parameters.csv,c2
1,135.0427459737215,56.598543560975564,0.020309826935267377,0.02034127855439974,538.0,10000.0,0.0,0.00035087719298245617,46.0,1169.0,2.0,64.0,15.0,10000.0,576.0,4.547473508864641e-13,100000.0,1.0,1.0,two_depletion_nutrient_B_s576l64L15T10000N100000_c1_parameters.csv,c1
1,50.52244430704908,13.26784675508603,0.03117620811061378,0.02842965388143545,442.0,10000.0,0.0,0.00035087719298245617,0.0,936.0,2.0,64.0,20.0,10000.0,103.0,-16.367390143983812,10.0,1.0,1.0,two_depletion_nutrient_B_s103l64L20T10000N10_c2_parameters.csv,c2
1,13.0,9.31420837897592,0.10930751082909294,0.015391271724805361,6.0,10000.0,0.0,0.00035087719298245617,1.0,17.0,2.0,64.0,15.0,1000.0,174.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s174l64L15T1000N100_c2_parameters.csv,c2
1,15.638015541525142,4.613958487877125,0.10644116354870227,0.02969947999252573,342.0,231.2,3539.1600000000008,0.00035087719298245617,0.0,1142.0,2.0,64.0,10.0,10000.0,204.0,-4.547473508864641e-13,100.0,1.0,1.0,two_depletion_nutrient_B_s204l64L10T10000N100_c2_parameters.csv,c2
1,13.0,8.737543719152093,0.14048647395851174,0.02172651737404644,5.0,10000.0,0.0,0.00035087719298245617,1.0,29.0,2.0,64.0,30.0,1000.0,190.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s190l64L30T1000N100_c2_parameters.csv,c2
1,3.92620414859778,64.46709215450213,0.11670184324005975,0.05108918278291876,377.0,197.3,196.41000000000003,0.00035087719298245617,7.0,765.0,2.0,64.0,15.0,10000.0,577.0,1.3826836881160034,100000.0,1.0,1.0,two_depletion_nutrient_B_s577l64L15T10000N100000_c2_parameters.csv,c2
1,11.606452504379748,11.6783026306662,0.09444932443024927,0.015,6.0,10000.0,0.0,0.00035087719298245617,1.0,34.0,2.0,64.0,15.0,500.0,18.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s18l64L15T500N10_c1_parameters.csv,c1
1,10.763259857357465,10.0,0.1320335995168494,0.017590676106632938,5.0,10000.0,0.0,0.00035087719298245617,2.0,35.0,2.0,64.0,10.0,500.0,5.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s5l64L10T500N10_c1_parameters.csv,c1
1,13.499942914013648,8.827995807960693,0.11456037872939277,0.016489250224417037,7.0,10000.0,0.0,0.00035087719298245617,1.0,25.0,2.0,64.0,15.0,1000.0,413.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s413l64L15T1000N10000_c2_parameters.csv,c2
1,13.0,8.300525430060882,0.12553720888682462,0.0170377205072667,3.0,10000.0,0.0,0.00035087719298245617,3.0,71.0,2.0,64.0,20.0,500.0,144.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s144l64L20T500N100_c2_parameters.csv,c2
1,13.0,10.0,0.1309540693619492,0.019843597619931073,3.0,10000.0,0.0,0.00035087719298245617,1.0,13.0,2.0,64.0,30.0,1000.0,431.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s431l64L30T1000N10000_c1_parameters.csv,c1
1,14.169622526902927,11.615767030234489,0.11256919763485199,0.016538609040486377,11.0,10000.0,0.0,0.00035087719298245617,1.0,56.0,2.0,64.0,20.0,1000.0,540.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s540l64L20T1000N100000_c1_parameters.csv,c1
1,1.4344281688751035,3.0767466314131937,0.12794563446449658,0.04140028270987914,400.0,104.9,201.09,0.00035087719298245617,65.0,989.0,2.0,64.0,10.0,10000.0,569.0,0.32324899731099777,100000.0,1.0,1.0,two_depletion_nutrient_B_s569l64L10T10000N100000_c2_parameters.csv,c2
1,5.989411703988751,14.359241342087229,0.07679707823961765,0.07281550559575631,105.0,10000.0,0.0,0.00035087719298245617,8.0,725.0,2.0,64.0,20.0,10000.0,343.0,-7.019448632431704,1000.0,1.0,1.0,two_depletion_nutrient_B_s343l64L20T10000N1000_c2_parameters.csv,c2
